Roles,Companies,Locations,Experience,Salaries,Skills
Machine Learning Engineer,The Fastest Media Company,Ahmedabad,0-2 Yrs,Not Disclosed Yet,"Tensorflow, Image Processing, Natural Language Processing, Machine Learning, Python, Opencv, Artificial Intelligence, Django"
Machine Learning Scientist | Sutherland Global Services | Chennai,Sutherlandglobal (Specialty -E),Chennai,6-11 Yrs,Not Disclosed Yet,"Machine Learning, Computer Vision, Deep Learning, Python, Vision, Machine, Computer, Global"
"Senior, Software Engineer - Machine Learning - Conversational Ai",Walmart,Bengaluru,7-12 Yrs,Not Disclosed Yet,"Unix, C++, Networking, Machine Learning, Mysql, Sez, Information Technology, Monitoring"
Machine Learning Engineer,Silverlink Technologies,"Hyderabad, Chennai, Bengaluru",4-9 Yrs,Not Disclosed Yet,"Natural Language Processing, Artificial Intelligence, Machine Learning, Process, Processing, Languages, Machine, Intelligence"
Senior Ai Engineer - Machine Learning,Zs,Bengaluru,4-9 Yrs,Not Disclosed Yet,"Hospitality, Coding, Financial Planning, Management Consulting, Agile, Healthcare, Data Structures, Sage"
Machine Learning Engineer - Python/Tensorflow,Vayuz Technologies,Surat,4-5 Yrs,Not Disclosed Yet,"Machine Learning, Tensorflow, Mlops, Big Data, Neural Networks, Scikit-Learn, Deep Learning, Python"
"Senior Machine Learning Engineer, Search & Ai",Apple,Bengaluru,10-15 Yrs,Not Disclosed Yet,"Qa, C++, Interpersonal Skills, Machine Learning, Scala, Query, Information Retrieval, Natural Language Processing"
Machine Learning Engineer - Python/Tensorflow,Vayuz Technologies,Nagpur,4-5 Yrs,Not Disclosed Yet,"Machine Learning, Tensorflow, Mlops, Big Data, Neural Networks, Scikit-Learn, Deep Learning, Python"
Lead Machine Learning Engineer,Caratlane,Chennai,6-10 Yrs,Not Disclosed Yet,"Algorithms, Docker, Computer Vision, Machine Learning, Python, Tensorflow, Ci/Cd, Vision"
Machine Learning Engineer - Python/Tensorflow,Vayuz Technologies,Agra,4-5 Yrs,Not Disclosed Yet,"Machine Learning, Tensorflow, Mlops, Big Data, Neural Networks, Scikit-Learn, Deep Learning, Python"
"Senior Staff Engineer, Machine Learning",Nagarro,Mumbai,10-15 Yrs,Not Disclosed Yet,"Computer Science, Analytical Skills, Deep Learning, Data Science, Machine Learning, Wbs, Application Development, Continuous Improvement"
Senior Machine Learning Engineer,Procyon Technostructure,Chennai,5-10 Yrs,Not Disclosed Yet,"Nlp, Neural Networks, Machine Learning, Deep Learning, Python, Natural Language Processing, Processing, Process"
Machine Learning Engineer,Clarivate,Noida,5-10 Yrs,Not Disclosed Yet,"Computer Science, Performance Tuning, Automation, Version Control, Orchestration, Gcp, Intellectual Property, Machine Learning"
Senior Ai Engineer - Machine Learning,Zs,Bengaluru,4-9 Yrs,Not Disclosed Yet,"Ml Engineering Platforms, Azure, Sage Maker, Kpi Measurements, Pyspark, Scala, Machine Learning, Kubeflow"
"Machine Learning Engineer, Design Verification, Silicon",Google,Bengaluru,5-10 Yrs,Not Disclosed Yet,"C++, Vhdl, Simulation, Verilog, Hardware Design, Machine Learning, Data Collection, Uvm"
Senior Machine Learning Physical Design Engineer,Google,Bengaluru,5-10 Yrs,Not Disclosed Yet,"C++, Chip Design, Soc, Cad, Machine Learning, Data Structures, Silicon, Floor Planning"
Lead Machine Learning Engineer,Talent Smart Soft Solutions,"Hyderabad, Chennai, Bengaluru",10-15 Yrs,Not Disclosed Yet,"Azure, Azure Machine Learning, Machine Learning, Python, Microsoft Azure, Machine"
Staff Machine Learning Engineer,Apollo.Io,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",8-13 Yrs,Not Disclosed Yet,"Computer Science, Automation, B2B, Orchestration, Gcp, Machine Learning, Continuous Improvement, Operations"
Machine Learning Engineer,Panacorp Software Solutions,"Nagercoil, Kanyakumari",0-5 Yrs,Not Disclosed Yet,"Machine Learning, Matlab, Simulink, Python, Data Analysis, Natural Language Processing, Simulation, Dl"
Machine Learning Engineer,Adobe,Bengaluru,10-15 Yrs,Not Disclosed Yet,"Computer Science, Digital Media, Ctv, Time Series Analysis, Machine Learning, Cloud, Programming, Adobe"
Machine Learning Engineer,Uplers,"Hybrid - Hyderabad, Delhi / Ncr, Mumbai (All Areas)",5-10 Yrs,Not Disclosed Yet,"Machine Learning, Product Management, Saas, Management, Machine"
Machine Learning Engineer,Natwest Markets,Bengaluru,4-9 Yrs,Not Disclosed Yet,"Version Control, Git, Data Science, Machine Learning, Agile, Scrum, Business Strategy, Analytics"
Machine Learning Developer,Infosys,Hyderabad,2-5 Yrs,Not Disclosed Yet,"Ms Azure Cloud, Python, Ms Azure, Cloud Technologies, Devops, C#, Kubernetes, Natural Language Processing"
Senior Machine Learning Expert- South Delhi,The Global Zone Hr Services,Delhi / Ncr,3-8 Yrs,3-7.5 Lacs Pa,"Machine Learning, Tensorflow, Pytorch, Natural Language Processing, Python, Process, Processing, Languages"
Lead Senior Engineer-Machine Learning,Qualcomm,Bengaluru,2-7 Yrs,Not Disclosed Yet,"Database Management, Git, Software Engineering, Api, Perforce, Application Software, Python, C++"
Python Machine Learning Engineer,Infosys,Bengaluru,3-5 Yrs,Not Disclosed Yet,"Python, Ms Azure, Data Analysis, Cloud Technologies, Analysis Tools, Ms Azure Cloud, Hive, Rest"
Senior Machine Learning Engineer,Outreach,Hyderabad,4-6 Yrs,Not Disclosed Yet,"Prototype, Data Science, Machine Learning, Data Processing, Sdk, Customer Engagement, Operations, Aws"
Machine Learning Engineer,Reveal Health Tech,Bengaluru,5-10 Yrs,Not Disclosed Yet,"Machine Learning, Performance Testing, Clinical Trials, Healthcare, Life Sciences, Engineering Design, Monitoring, Sql"
Machine Learning Engineer 4,Adobe,Bengaluru,10-15 Yrs,Not Disclosed Yet,"Computer Science, Digital Media, Ctv, Time Series Analysis, Machine Learning, Cloud, Information Retrieval, Adobe"
Data Scientist - Machine Learning / Artificial Intelligence,Leading Client,"New Delhi, Delhi / Ncr",5-7 Yrs,Not Disclosed Yet,"Data Science, Mlops, Artificial Intelligence, Data Visualization, Data Modeling, Data Analytics, Looker, Llm"
Data Scientist - Machine Learning/Artificial Intelligence,Leading Client,Chennai,5-7 Yrs,Not Disclosed Yet,"Data Scientist, Data Science, Mlops, Artificial Intelligence, Data Visualization, Data Modeling, Data Analytics, Looker"
Machine Learning Engineer-Immediate-Hyderabad/Chennai/Noida/Pune,Innova Solutions,"Hybrid - Noida, Hyderabad, Pune",8-13 Yrs,Not Disclosed Yet,"Machine Learning, Python, Aws Ecosystem, Aws Sagemaker, Machine, Aws"
Data Scientist - Machine Learning/Artificial Intelligence,Leading Client,Kolkata,5-7 Yrs,Not Disclosed Yet,"Data Science, Mlops, Data Scientist, Artificial Intelligence, Data Visualization, Data Modeling, Data Analytics, Looker"
Data Scientist - Machine Learning / Artificial Intelligence,Leading Client,Mumbai,5-7 Yrs,Not Disclosed Yet,"Machine Learning, Data Science, Mlops, Data Scientist, Artificial Intelligence, Data Visualization, Data Modeling, Data Analytics"
Principal Machine Learning Engineer,Atlassian,Bengaluru,10-15 Yrs,Not Disclosed Yet,"Deep Learning, Data Science, Agile Development, Machine Learning, Data Collection, Forecasting, Analytics, Python"
Senior Machine Learning Engineer,Snow Planet,Hyderabad,3-7 Yrs,Not Disclosed Yet,"Deep Learning, Continuous Integration, Automation Testing, Orchestration, Architecture, Machine Learning, Manager Technology, Deployment"
Senior Machine Learning Engineer,Medtronic,Pune,8-11 Yrs,Not Disclosed Yet,"Machine Learning, Aws, Deep Learning, Python, Tensorflow, Pytorch, Deep Learning Frameworks, Generative Ai Tools"
Machine Learning Intern,Anika Sterilis Andhra Pradesh,Visakhapatnam,No Fixed Duration,Unpaid,Na
Machine Learning Engineer,Target,Bengaluru,4-9 Yrs,Not Disclosed Yet,"Software Development, Software Testing, Functional Testing, Java, Debugging, Jvm, Continuous Integration, Python"
"Machine Learning Engineer, Search & Ai",Apple,Bengaluru,7-12 Yrs,Not Disclosed Yet,"Qa, Analytical Skills, C++, Machine Learning, Scala, Query, Information Retrieval, Natural Language Processing"
T&T - Customer - Cs&D - Consultant - Machine Learning,Deloitte Consulting,Pune,5-8 Yrs,Not Disclosed Yet,"C++, Data Management, Performance Management, Analytical, Machine Learning, Data Structures, Data Processing, Business Intelligence"
Lead Ai Engineer - Machine Learning,Zs,"Gurugram, Bengaluru",3-7 Yrs,Not Disclosed Yet,"Coding, Analytical, Financial Planning, Management Consulting, Agile, Data Structures, Sage, Analytics"
Lead Engineer - Machine Learning,Ge,Bengaluru,3-8 Yrs,Not Disclosed Yet,"Matlab, Python, Algorithm Development, Artificial Intelligence, Ml, Algorithms, C++, C"
Machine Learning Scientist,Acuity Knowledge Partners,Hybrid - Bengaluru,5-9 Yrs,Not Disclosed Yet,"Deployment, Llm, Nosql, Machine Learning, Python, Langchain, Al, Individual Contributor"
Machine Learning Engineer,Accertify,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",1-5 Yrs,Not Disclosed Yet,"Computer Science, Data Validation, Financial Planning, Machine Learning, Jdbc, Wellness, Oracle, Monitoring"
Machine Learning Engineer,Immunefi,Remote,4-9 Yrs,Not Disclosed Yet,"Deep Learning, Development Manager, Coding, Focus, Machine Learning, Programming, Deployment, Vulnerability"
Machine Learning And Artificial Intelligence Engineer,Tata Consultancy Services,"Hyderabad, Bengaluru, Delhi / Ncr",8-13 Yrs,Not Disclosed Yet,"Artificial Intelligence, Natural Language Processing, Machine Learning, Deep Learning, Python, Process, Processing, Languages"
Senior Machine Learning Engineer,Observe.Ai,Bengaluru,3-8 Yrs,Not Disclosed Yet,"Asr, Automation, Machine Learning, Signal Processing, Manager Technology, Customer Service, Medical Insurance, Research"
Senior Machine Learning Engineer,Xoom,Bengaluru,5-8 Yrs,Not Disclosed Yet,"Computer Science, Backend, Front End, Database Design, Analytical, Web Development, Machine Learning, Wellness"
Machine Learning Engineer,Emperen Technologies,Remote,5-8 Yrs,Not Disclosed Yet,"Machine Learning, Algorithms, Azure, Pytorch, Gcp, Pandas, Ml Systems, Aws"
Sr Machine Learning Engineer,Xoom,Bengaluru,6-8 Yrs,Not Disclosed Yet,"Gcp, Analytical, Diversity And Inclusion, Machine Learning, Wellness, Troubleshooting, Monitoring, Financial Services"
Senior Staff Machine Learning Engineer Platform,Workaspro,Bengaluru,3-8 Yrs,Not Disclosed Yet,"Hive, Snowflake, Functional, Python, Software, Airflow, Neural Networks, Dl"
Machine Learning Engineer,Emperen Technologies,Remote,5-7 Yrs,Not Disclosed Yet,"Linear Algebra, Ml, Python, Jax, Matplotlib, Azure, Scikit-Learn, Cloud Platforms"
Machine Learning Engineer - Python/Hadoop,Vayuz Technologies,Bengaluru,4-5 Yrs,Not Disclosed Yet,"Machine Learning, Tensorflow, Hadoop, Big Data, Machine Learning Engineer, Spark, Python, Machine"
Principal Analyst (Machine Learning Engineer),Factspan Inc.,Bengaluru,4-8 Yrs,Not Disclosed Yet,"Gcp, Machine Learning, Principal Analyst, Python, Machine"
Machine Learning Engineer,Rda Labs,Bengaluru,4-9 Yrs,Not Disclosed Yet,"Computer Science, Deep Learning, C++, Github, Machine Learning, Database, Healthcare, Workflow"
Azure Databricks Engineer Machine Learning,Suzva Software Technologies,"Hyderabad, Bengaluru, Delhi / Ncr",3-6 Yrs,Not Disclosed Yet,"Azure, Gcp, Aws, Pyspark, Spark Sql, Rdds, Pandas, Delta Lake"
Machine Learning Engineer,Apple,Hyderabad,3-7 Yrs,Not Disclosed Yet,"Python, Data Analysis, Natural Language Processing, Predictive Analytics, Neural Networks, Engineering, Machine Learning, Artificial Intelligence"
Senior Machine Learning Engineer,Uplers,"Hybrid - Hyderabad, Chennai, Bengaluru",0-3 Yrs,30-45 Lacs Pa,"Machine Learning, Large Language Model, Natural Language Processing, Process, Processing, Large, Languages, Machine"
Machine Learning Engineers (Mid-Level & Junior),Kavayah Solutions,Hyderabad,1-6 Yrs,Not Disclosed Yet,"Algorithms, Python, Neural Networks, Data Processing, Problem Solving, Machine Learning, Artificial Intelligence, Scalability"
Machine Learning Engineers (Mid-Level & Junior),Kavayah Solutions,Hyderabad,1-5 Yrs,Not Disclosed Yet,"Algorithms, Python, Neural Networks, Data Processing, Problem Solving, Machine Learning, Artificial Intelligence, Scalability"
"Applied Scientist I, International Machine Learning",Amazon,Gurugram,3-7 Yrs,Not Disclosed Yet,"Asr, Computer Vision, C++, Rdbms, Machine Learning, Programming, Oracle, Data Warehousing"
Staff Machine Learning Engineer,Zscaler Softech,Bengaluru,4-8 Yrs,Not Disclosed Yet,"Algorithms, Kubernetes, Orchestration, Anomaly Detection, Networking, Tools, Sql, Cloud"
Machine Learning Engineer - Bangalore,A1 Selectors,Hybrid - Bengaluru,3-7 Yrs,20-30 Lacs Pa,"Ai, Machine Learning, Modelling, Sql, Python, Sta, Gpt, Statistics"
Machine Learning Engineer,Xoom,Bengaluru,3-6 Yrs,Not Disclosed Yet,"Gcp, Analytical, Diversity And Inclusion, Machine Learning, Wellness, Troubleshooting, Monitoring, Financial Services"
Lead Machine Learning Engineer - Nlp,Observe.Ai,Bengaluru,5-10 Yrs,Not Disclosed Yet,"Computer Science, Automation, Publishing, Machine Learning, Information Retrieval, Natural Language Processing, Customer Service, Open Source"
Machine Learning Engineer - Llm,Apple,Bengaluru,3-8 Yrs,Not Disclosed Yet,"Supply Chain, Computer Science, Operations Research, Orchestration, Artificial Intelligence, Machine Learning, Apache, Data Mining"
Machine Learning Engineer - Llm,Apple,Bengaluru,3-10 Yrs,Not Disclosed Yet,"Supply Chain, Operations Research, Orchestration, Artificial Intelligence, Machine Learning, Hardware, Data Mining, Apache"
Machine Learning Engineer,Uplers,"Mumbai, New Delhi, Bengaluru",5-8 Yrs,Not Disclosed Yet,"Python, Natural Language Processing, Data Engineering, Sql, Docker, Time Series Analysis, Software Testing, Scikit-Learn"
Specialist - Machine Learning And Ai,Verint Financial Compliance,Bengaluru,5-10 Yrs,Not Disclosed Yet,"Automation, Machine Learning, Customer Retention, Customer Service, Forecasting, Analytics, Financial Services, Monitoring"
Senior Machine Learning Engineer,Earnin,Bengaluru,4-9 Yrs,Not Disclosed Yet,"Computer Science, Deep Learning, Automation Testing, Architecture, Finance, Machine Learning, Healthcare, Application Software"
Data Engineer -Machine Learning -Bangalore/Chennai -Tata Elxsi-5-8 Yrs,Tata Elxsi,"Hybrid - Chennai, Bengaluru",5-7 Yrs,"50, 000-2.5 Lacs Pa","Data Engineering, Tableau, Machine Learning, Python, Power Bi, Bigquery, Bi, Engineering"
Machine Learning Engineer,Bahwan Cybertek,"Kochi, Bengaluru",5-10 Yrs,Not Disclosed Yet,"Aws Ml Services, Mlops, Sagemaker, Aws, Python, S3, Ci Cd Pipeline, Data Engineer"
Senior Machine Learning Engineer (Genai),Kapture Cx,Bengaluru,3-6 Yrs,Not Disclosed Yet,"Automation, Gcp, Artificial Intelligence, Machine Learning, Data Processing, Customer Support, Customer Service, Crm"
Senior Machine Learning /Llm Engineer,Tredence,Hybrid - Pune(Baner),5-10 Yrs,Not Disclosed Yet,"Mlops, Llmops, Ml Pipelines, Model Observability, Deploying Models, Model Monitoring, Ml Deployment, Llm"
Senior Software Engineer - Machine Learning And Computer Vision,Agsure Innovations,New Delhi,5-8 Yrs,Not Disclosed Yet,"Computer Science, Cloud Computing, Computer Vision, Deep Learning, Image Processing, Neural Networks, Artificial Intelligence, Machine Learning"
Senior Machine Learning Engineer - Nlp/Python,Maimsd Technology,"Pune, Bengaluru",4-7 Yrs,Not Disclosed Yet,"Machine Learning, Data Science, Tensorflow, Azure, Nlp, Data Scientist, Aws, Python"
Banking Officer In Private Bank,Pvr India,"Madurai, Tiruchirapalli",0 Yrs,3.25-4.25 Lacs Pa,"Banking Process, Banking Operations, Bank Audit, Freshers, Banking Operation, Operations, Process, Auditing"
"Assistant Officer, Personal Banker, Consumer Banking Group",Dbs Bank,"Hyderabad, Ramachandrapuram",0-7 Yrs,Not Disclosed Yet,"Sales, Relationship, Corporate, Consumer Banking, Sip, Management, Revenue Generation, Banking Products"
Private Banking Officer As Fresher,Pvr India,"Madurai, Chennai, Tiruchirapalli",0 Yrs,3-3.5 Lacs Pa,"Banking Process, Accounting Operations, Bank Accounting, Bank Operations, Accounts Payable, Finance Process, Banking Operations, Private Banking"
Backend Operations Associate In Private Banks,Pvr India,"Tirunelveli, Coimbatore, Thoothukudi",0 Yrs,2.25-3.75 Lacs Pa,"Back End Processing, Fresher, Credit Card Operations, Backend Operations, Processing, Cards, Process, Backend"
Banking Operations New Associate,Accenture,Chennai,0-1 Yrs,Not Disclosed Yet,"Financial Analysis, Credit Analysis, Banking Operations, Financial Services, Finance, Risk Management, Credit Underwriting, Credit Risk"
Ca Freshers - Associate - Forensics,Pwc India,"Hybrid - Bangalore Rural, Gurugram, Mumbai (All Areas)",0-1 Yrs,Not Disclosed Yet,"Forensics, Investigations, Ca, Investigation, Forensic"
Relationship Officer-811-Digital Banking Kotak 811-Sales,Kotak Life Insurance,Visakhapatnam,0-3 Yrs,Not Disclosed Yet,"Presentation Skills, Business Development, Sales, Marketing, Kyc, Channel Sales, Retail Sales, Market Research"
Relationship Officer-811-Digital Banking Kotak 811-Sales,Kotak Life Insurance,Kolkata,0-3 Yrs,Not Disclosed Yet,"Presentation Skills, Business Development, Sales, Marketing, Kyc, Channel Sales, Retail Sales, Market Research"
Relationship Officer-811-Digital Banking Kotak 811-Sales,Kotak Life Insurance,Bengaluru,0-3 Yrs,Not Disclosed Yet,"Presentation Skills, Business Development, Sales, Marketing, Kyc, Channel Sales, Retail Sales, Market Research"
Relationship Officer-811-Digital Banking Kotak 811-Sales,Kotak Life Insurance,Hyderabad,0-3 Yrs,Not Disclosed Yet,"Presentation Skills, Business Development, Sales, Marketing, Kyc, Channel Sales, Retail Sales, Market Research"
Telecalling Officer,Indian School Of Business Managmenet And Administration (Isbm),"Mumbai, Chandigarh",0-2 Yrs,"50, 000-2.5 Lacs Pa","Telecalling, Educational Sales, Sales, Lead Generation, Outbound Sales, Telesales, Cold Calling, Inside Sales"
